Date,location,flow
2018/12/31,longmen,461
2018/12/30,longmen,573
2018/12/29,longmen,695
2018/12/28,longmen,618
2018/12/27,longmen,515
2018/12/26,longmen,445
2018/12/25,longmen,460
2018/12/25,longmen,460
2018/12/24,longmen,399
2018/12/23,longmen,364
2018/12/22,longmen,260
2018/12/21,longmen,265
2018/12/20,longmen,248
2018/12/19,longmen,320
2018/12/19,longmen,320
2018/12/18,longmen,340
2018/12/17,longmen,343
2018/12/16,longmen,340
2018/12/15,longmen,383
2018/12/14,longmen,406
2018/12/13,longmen,500
2018/12/12,longmen,625
2018/12/11,longmen,538
2018/12/10,longmen,829
2018/12/9,longmen,958
2018/10/30,longmen,1170
2018/10/29,longmen,1060
2018/10/28,longmen,1570
2018/10/27,longmen,1280
2018/10/26,longmen,1430
2018/10/25,longmen,1680
2018/10/23,longmen,1850
2018/10/23,longmen,1450
2018/10/22,longmen,2310
2018/10/21,longmen,2740
2018/10/20,longmen,2770
2018/10/19,longmen,2810
2018/10/18,longmen,3070
2018/10/17,longmen,3070
2018/10/16,longmen,3350
2018/10/15,longmen,3410
2018/10/14,longmen,2890
2018/10/13,longmen,2920
2018/10/12,longmen,2880
2018/10/11,longmen,3170
2018/10/10,longmen,3100
2018/10/9,longmen,3260
2018/10/8,longmen,2930
2018/10/7,longmen,2850
2018/10/6,longmen,2870
2018/10/5,longmen,2380
2018/10/4,longmen,2380
2018/10/3,longmen,2680
2018/10/2,longmen,2470
2018/10/1,longmen,2070
2018/9/30,longmen,2220
2018/9/29,longmen,2690
2018/9/29,longmen,2690
2018/9/28,longmen,2500
2018/9/27,longmen,3080
2018/9/26,longmen,3270
2018/9/25,longmen,2920
2018/9/24,longmen,3390
2018/9/23,longmen,3530
2018/9/22,longmen,2630
2018/9/21,longmen,2840
2018/9/20,longmen,2960
2018/9/19,longmen,2370
2018/9/18,longmen,2460
2018/9/17,longmen,2330
2018/9/16,longmen,2410
2018/9/15,longmen,2340
2018/9/14,longmen,2250
2018/9/13,longmen,2510
2018/9/12,longmen,2560
2018/9/11,longmen,2340
2018/9/10,longmen,2190
2018/9/9,longmen,1610
2017/9/28,longmen,307
2017/9/28,longmen,307
2018/9/8,longmen,2020
2018/9/7,longmen,2330
2018/9/6,longmen,2280
2018/9/5,longmen,2230
2018/9/4,longmen,2260
2018/9/3,longmen,2500
2018/9/2,longmen,2260
2018/9/1,longmen,3080
2018/8/31,longmen,2200
2018/8/30,longmen,2000
2018/8/29,longmen,2090
2018/8/28,longmen,2090
2018/8/27,longmen,2130
2018/8/26,longmen,1990
2018/8/25,longmen,2200
2018/8/24,longmen,2200
2018/8/24,longmen,2200
2018/8/24,longmen,2150
2018/8/24,longmen,2150
2018/8/23,longmen,2150
2018/8/22,longmen,1840
2018/8/22,longmen,1840
2018/8/21,longmen,1850
2018/8/20,longmen,1300
2018/8/19,longmen,1500
2018/8/18,longmen,1740
2018/8/17,longmen,1940
2018/8/16,longmen,1790
2018/8/15,longmen,1720
2018/8/14,longmen,2160
2018/8/13,longmen,1470
2018/8/12,longmen,2790
2018/8/11,longmen,1500
2018/8/10,longmen,1480
2018/8/9,longmen,1330
2018/8/8,longmen,1650
2018/8/7,longmen,1420
2018/8/6,longmen,1490
2018/8/5,longmen,1850
2018/8/5,longmen,1850
2018/8/4,longmen,1910
2018/8/3,longmen,1670
2018/8/2,longmen,1950
2018/8/1,longmen,1750
2018/7/31,longmen,1540
2018/7/30,longmen,1430
2018/7/29,longmen,1410
2018/7/29,longmen,1410
2018/7/28,longmen,1700
2018/7/27,longmen,1410
2018/7/26,longmen,1560
2018/7/25,longmen,1420
2018/7/24,longmen,1520
2018/7/24,longmen,1520
2018/7/23,longmen,1300
2018/7/23,longmen,1300
2018/7/22,longmen,1700
2018/7/21,longmen,1490
2018/7/19,longmen,1400
2018/7/19,longmen,1200
2018/7/18,longmen,1740
2018/7/16,longmen,1820
2018/7/15,longmen,1300
2018/7/15,longmen,1280
2018/7/15,longmen,1280
2018/7/14,longmen,1160
2018/7/13,longmen,1740
2018/7/12,longmen,1330
2018/7/11,longmen,1050
2018/7/10,longmen,538
2018/7/9,longmen,515
2018/7/8,longmen,585
2018/7/7,longmen,1040
2018/7/6,longmen,493
2018/7/5,longmen,598
2018/7/4,longmen,882
2018/7/3,longmen,1110
2018/7/2,longmen,950
2018/7/2,longmen,950
2018/7/1,longmen,471
