DATA,RUNOFF
1956/1/1,866
1956/2/1,900
1956/3/1,1096
1956/4/1,581
1956/5/1,638
1956/6/1,622
1956/7/1,550
1956/8/1,551
1956/9/1,569
1956/10/1,438
1956/11/1,370
1956/12/1,340
1957/1/1,365
1957/2/1,327
1957/3/1,279
1957/4/1,215
1957/5/1,187
1957/6/1,153
1957/7/1,151
1957/8/1,132
1957/9/1,123
1957/10/1,124
1957/11/1,119
1957/12/1,101
1958/1/1,97
1958/2/1,99
1958/3/1,105
1958/4/1,108
1958/5/1,114
1958/6/1,113
1958/7/1,138
1958/8/1,175
1958/9/1,206
1958/10/1,462
1958/11/1,557
1958/12/1,556
1959/1/1,430
1959/2/1,447
1959/3/1,544
1959/4/1,676
1959/5/1,743
1959/6/1,725
1959/7/1,262
1959/8/1,262
1959/9/1,271
1959/10/1,346
1959/11/1,292
1959/12/1,268
1960/1/1,222
1960/2/1,199
1960/3/1,170
1960/4/1,174
1960/5/1,152
1960/6/1,124
1960/7/1,132
1960/8/1,115
1960/9/1,108
1960/10/1,108
1960/11/1,103
1960/12/1,88
1961/1/1,87
1961/2/1,89
1961/3/1,94
1961/4/1,89
1961/5/1,93
1961/6/1,93
1961/7/1,98
1961/8/1,123
1961/9/1,145
1961/10/1,250
1961/11/1,301
1961/12/1,300
1962/1/1,479
1962/2/1,498
1962/3/1,606
1962/4/1,532
1962/5/1,584
1962/6/1,570
1962/7/1,1165
1962/8/1,1167
1962/9/1,1206
1962/10/1,681
1962/11/1,575
1962/12/1,529
1963/1/1,641
1963/2/1,574
1963/3/1,490
1963/4/1,334
1963/5/1,291
1963/6/1,239
1963/7/1,199
1963/8/1,174
1963/9/1,163
1963/10/1,141
1963/11/1,125
1963/12/1,120
1964/1/1,118
1964/2/1,113
1964/3/1,109
1964/4/1,109
1964/5/1,116
1964/6/1,194
1964/7/1,202
1964/8/1,169
1964/9/1,155
1964/10/1,98
1964/11/1,97
1964/12/1,94
1965/1/1,91
1965/2/1,90
1965/3/1,87
1965/4/1,87
1965/5/1,94
1965/6/1,101
1965/7/1,97
1965/8/1,114
1965/9/1,116
1965/10/1,137
1965/11/1,125
1965/12/1,121
1966/1/1,114
1966/2/1,111
1966/3/1,108
1966/4/1,107
1966/5/1,126
1966/6/1,148
1966/7/1,162
1966/8/1,246
1966/9/1,523
1966/10/1,164
1966/11/1,153
1966/12/1,141
1967/1/1,134
1967/2/1,129
1967/3/1,125
1967/4/1,119
1967/5/1,115
1967/6/1,112
1967/7/1,115
1967/8/1,129
1967/9/1,168
1967/10/1,235
1967/11/1,368
1967/12/1,416
1968/1/1,320
1968/2/1,295
1968/3/1,262
1968/4/1,338
1968/5/1,575
1968/6/1,764
1968/7/1,621
1968/8/1,1299
1968/9/1,572
1968/10/1,147
1968/11/1,175
1968/12/1,140
1969/1/1,146
1969/2/1,241
1969/3/1,193
1969/4/1,226
1969/5/1,313
1969/6/1,569
1969/7/1,1288
1969/8/1,983
1969/9/1,594
1969/10/1,355
1969/11/1,377
1969/12/1,383
1970/1/1,306
1970/2/1,810
1970/3/1,1763
1970/4/1,1093
1970/5/1,1364
1970/6/1,520
1970/7/1,434
1970/8/1,1242
1970/9/1,793
1970/10/1,206
1970/11/1,218
1970/12/1,189
1971/1/1,303
1971/2/1,295
1971/3/1,296
1971/4/1,497
1971/5/1,943
1971/6/1,1281
1971/7/1,571
1971/8/1,575
1971/9/1,919
1971/10/1,460
1971/11/1,330
1971/12/1,308
1972/1/1,214
1972/2/1,191
1972/3/1,184
1972/4/1,161
1972/5/1,149
1972/6/1,135
1972/7/1,123
1972/8/1,116
1972/9/1,107
1972/10/1,592
1972/11/1,393
1972/12/1,860
1973/1/1,651
1973/2/1,436
1973/3/1,360
1973/4/1,346
1973/5/1,267
1973/6/1,221
1973/7/1,188
1973/8/1,166
1973/9/1,152
1973/10/1,495
1973/11/1,502
1973/12/1,668
1974/1/1,744
1974/2/1,822
1974/3/1,662
1974/4/1,434
1974/5/1,545
1974/6/1,336
1974/7/1,250
1974/8/1,211
1974/9/1,181
1974/10/1,402
1974/11/1,331
1974/12/1,650
1975/1/1,511
1975/2/1,601
1975/3/1,374
1975/4/1,329
1975/5/1,265
1975/6/1,226
1975/7/1,189
1975/8/1,178
1975/9/1,158
1975/10/1,139
1975/11/1,128
1975/12/1,121
1976/1/1,115
1976/2/1,112
1976/3/1,110
1976/4/1,111
1976/5/1,111
1976/6/1,107
1976/7/1,119
1976/8/1,133
1976/9/1,180
1976/10/1,145
1976/11/1,139
1976/12/1,129
1977/1/1,125
1977/2/1,120
1977/3/1,117
1977/4/1,121
1977/5/1,151
1977/6/1,159
1977/7/1,263
1977/8/1,378
1977/9/1,410
1977/10/1,203
1977/11/1,261
1977/12/1,507
1978/1/1,393
1978/2/1,287
1978/3/1,277
1978/4/1,444
1978/5/1,418
1978/6/1,609
1978/7/1,325
1978/8/1,378
1978/9/1,471
1978/10/1,354
1978/11/1,427
1978/12/1,508
1979/1/1,420
1979/2/1,379
1979/3/1,358
1979/4/1,597
1979/5/1,1048
1979/6/1,1487
1979/7/1,458
1979/8/1,733
1979/9/1,380
1979/10/1,986
1979/11/1,1018
1979/12/1,686
1980/1/1,581
1980/2/1,612
1980/3/1,377
1980/4/1,378
1980/5/1,290
1980/6/1,234
1980/7/1,214
1980/8/1,181
1980/9/1,159
1980/10/1,801
1980/11/1,1149
1980/12/1,946
1981/1/1,909
1981/2/1,741
1981/3/1,544
1981/4/1,422
1981/5/1,319
1981/6/1,264
1981/7/1,234
1981/8/1,199
1981/9/1,180
