year,month,flow
1957,January,114.6666667
1957,February,100.3333333
1957,March,111.6666667
1957,April,173
1957,May,525
1957,June,473.6666667
1957,July,714.6666667
1957,August,265
1957,September,302
1957,October,197
1957,November,150
1957,December,118.3333333
1958,January,99.66666667
1958,February,90
1958,March,91.66666667
1958,April,122
1958,May,283.6666667
1958,June,527.6666667
1958,July,562
1958,August,1179.333333
1958,September,595
1958,October,568.3333333
1958,November,288
1958,December,178.6666667
1959,January,128.6666667
1959,February,113.3333333
1959,March,139.6666667
1959,April,175.3333333
1959,May,339.6666667
1959,June,292.3333333
1959,July,559
1959,August,830.6666667
1959,September,366
1959,October,196.3333333
1959,November,148.3333333
1959,December,115.3333333
1960,January,96.33333333
1960,February,89.33333333
1960,March,94
1960,April,109
1960,May,154
1960,June,193.3333333
1960,July,369.3333333
1960,August,955
1960,September,615
1960,October,482.3333333
1960,November,278
1960,December,168.6666667
1961,January,127.6666667
1961,February,111
1961,March,127
1961,April,310.3333333
1961,May,371.6666667
1961,June,959.6666667
1961,July,992.3333333
1961,August,823
1961,September,555
1961,October,742.6666667
1961,November,438.3333333
1961,December,214
1962,January,152.6666667
1962,February,129.3333333
1962,March,115.3333333
1962,April,137.3333333
1962,May,204.3333333
1962,June,298
1962,July,907
1962,August,688.3333333
1962,September,461
1962,October,495.3333333
1962,November,273.3333333
1962,December,175
1963,January,129.3333333
1963,February,112.3333333
1963,March,109.6666667
1963,April,144
1963,May,323.6666667
1963,June,319
1963,July,490.3333333
1963,August,391.3333333
1963,September,896.6666667
1963,October,523.3333333
1963,November,300.6666667
1963,December,184.6666667
1964,January,137.6666667
1964,February,120.6666667
1964,March,143.6666667
1964,April,350.3333333
1964,May,429.6666667
1964,June,385.6666667
1964,July,1044
1964,August,523.6666667
1964,September,965.3333333
1964,October,731.3333333
1964,November,335
1964,December,204.3333333
1965,January,150
1965,February,128.3333333
1965,March,122.3333333
1965,April,276.6666667
1965,May,257
1965,June,228.6666667
1965,July,431.6666667
1965,August,254.6666667
1965,September,220.3333333
1965,October,365.3333333
1965,November,179.6666667
1965,December,124.6666667
1966,January,101.6666667
1966,February,90.66666667
1966,March,95.33333333
1966,April,146.6666667
1966,May,230
1966,June,204
1966,July,734.6666667
1966,August,829.3333333
1966,September,1089.333333
1966,October,489.3333333
1966,November,284
1966,December,185.6666667
1967,January,138
1967,February,119
1967,March,136.6666667
1967,April,201.6666667
1967,May,866.3333333
1967,June,460.6666667
1967,July,657.3333333
1967,August,712.6666667
