year,month,Ri
1957,1,3.011788801
1957,2,2.635315199
1957,3,2.932992001
1957,4,4.5439488
1957,5,13.78944
1957,6,12.4411392
1957,7,18.7711488
1957,8,6.960384
1957,9,7.9322112
1957,10,5.1743232
1957,11,3.93984
1957,12,3.108095999
1958,1,2.6178048
1958,2,2.363904
1958,3,2.40768
1958,4,3.2044032
1958,5,7.450675201
1958,6,13.8594816
1958,7,14.7612672
1958,8,30.97589759
1958,9,15.628032
1958,10,14.927616
1958,11,7.5644928
1958,12,4.692787201
1959,1,3.379507201
1959,2,2.976767999
1959,3,3.668428801
1959,4,4.605235199
1959,5,8.921548801
1959,6,7.678310399
1959,7,14.6824704
1959,8,21.8179584
1959,9,9.6132096
1959,10,5.156812799
1959,11,3.896063999
1959,12,3.029299199
1960,1,2.5302528
1960,2,2.3463936
1960,3,2.4689664
1960,4,2.8629504
1960,5,4.0449024
1960,6,5.078015999
1960,7,9.700761599
1960,8,25.083648
1960,9,16.153344
1960,10,12.6687744
1960,11,7.3018368
1960,12,4.430131201
1961,1,3.353241601
1961,2,2.9154816
1961,3,3.3357312
1961,4,8.151091199
1961,5,9.762048001
1961,6,25.2062208
1961,7,26.0642304
1961,8,21.6165888
1961,9,14.577408
1961,10,19.5065856
1961,11,11.513088
1961,12,5.6208384
1962,1,4.009881601
1962,2,3.397017599
1962,3,3.029299199
1962,4,3.607142399
1962,5,5.366937599
1962,6,7.8271488
1962,7,23.8228992
1962,8,18.079488
1962,9,12.1084416
1962,10,13.0102272
1962,11,7.179263999
1962,12,4.59648
1963,1,3.397017599
1963,2,2.950502399
1963,3,2.880460801
1963,4,3.7822464
1963,5,8.501299201
1963,6,8.3787264
1963,7,12.8788992
1963,8,10.2786048
1963,9,23.551488
1963,10,13.745664
1963,11,7.897190401
1963,12,4.850380801
1964,1,3.615897601
1964,2,3.169382401
1964,3,3.773491201
1964,4,9.201715199
1964,5,11.2854528
1964,6,10.1297664
1964,7,27.4212864
1964,8,13.7544192
1964,9,25.3550592
1964,10,19.2089088
1964,11,8.798976
1964,12,5.366937599
1965,1,3.93984
1965,2,3.370751999
1965,3,3.213158399
1965,4,7.266816001
1965,5,6.7502592
1965,6,6.006067201
1965,7,11.337984
1965,8,6.688972801
1965,9,5.787187199
1965,10,9.595699199
1965,11,4.719052801
1965,12,3.274444801
1966,1,2.670336001
1966,2,2.3814144
1966,3,2.5039872
1966,4,3.852288001
1966,5,6.041088
1966,6,5.3581824
1966,7,19.2964608
1966,8,21.7829376
1966,9,28.61199359
1966,10,12.8526336
1966,11,7.4594304
1966,12,4.876646401
1967,1,3.6246528
1967,2,3.1256064
1967,3,3.589632001
1967,4,5.296896001
1967,5,22.7547648
1967,6,12.0996864
1967,7,17.2652544
1967,8,18.7186176
1967,9,27.6839424
1967,10,14.1571584
1967,11,9.044121599
1967,12,5.559552001
1968,1,4.272537601
1968,2,3.589632001
1968,3,4.465152
1968,4,6.373785601
1968,5,10.9264896
1968,6,9.5081472
1968,7,14.2096896
1968,8,21.4152192
1968,9,27.40377599
1968,10,12.6862848
1968,11,7.485696
1968,12,4.9641984
1969,1,3.791001599
