year,month,flow
1957,January,185.6666667
1957,February,163.3333333
1957,March,197.3333333
1957,April,284
1957,May,1007.666667
1957,June,928
1957,July,1860.333333
1957,August,422.3333333
1957,September,490
1957,October,261.6666667
1957,November,211
1957,December,166.6666667
1958,January,140.3333333
1958,February,121.6666667
1958,March,125.3333333
1958,April,216
1958,May,447
1958,June,1090
1958,July,1720.666667
1958,August,3602
1958,September,1170
1958,October,1157.666667
1958,November,570
1958,December,323.3333333
1959,January,216.6666667
1959,February,192.6666667
1959,March,326.6666667
1959,April,352.6666667
1959,May,568.3333333
1959,June,429.3333333
1959,July,1446.333333
1959,August,1960
1959,September,740.3333333
1959,October,378.6666667
1959,November,279.6666667
1959,December,188.3333333
1960,January,169.6666667
1960,February,153
1960,March,171.3333333
1960,April,227.3333333
1960,May,291.3333333
1960,June,297
1960,July,611.6666667
1960,August,2029
1960,September,1168.333333
1960,October,1033.333333
1960,November,452
1960,December,243.3333333
1961,January,176.3333333
1961,February,159
1961,March,202.3333333
1961,April,560.6666667
1961,May,600.3333333
1961,June,2606.333333
1961,July,2923.666667
1961,August,1964.333333
1961,September,996.3333333
1961,October,1812
1961,November,960.3333333
1961,December,416.6666667
1962,January,258.3333333
1962,February,213.3333333
1962,March,187.3333333
1962,April,205
1962,May,270.6666667
1962,June,430
1962,July,2376.666667
1962,August,1872.666667
1962,September,1076
1962,October,1222.666667
1962,November,561.6666667
1962,December,307
1963,January,204.3333333
1963,February,177
1963,March,183.3333333
1963,April,261
1963,May,1049
1963,June,557
1963,July,1290
1963,August,815.3333333
1963,September,2336.333333
1963,October,818.3333333
1963,November,579.6666667
1963,December,328.6666667
1964,January,228
1964,February,190.3333333
1964,March,311
1964,April,1207.666667
1964,May,850
1964,June,589
1964,July,2267
1964,August,988
1964,September,2906
1964,October,1770.666667
1964,November,711.3333333
1964,December,360
1965,January,254
1965,February,218
1965,March,208.3333333
1965,April,625
1965,May,492
1965,June,377.6666667
1965,July,800.3333333
1965,August,396
1965,September,367.6666667
1965,October,612.3333333
1965,November,284
1965,December,183
1966,January,151.6666667
1966,February,137.3333333
1966,March,151.6666667
1966,April,216.6666667
1966,May,280.6666667
1966,June,250.3333333
1966,July,1984
1966,August,1790.666667
1966,September,2363
1966,October,836
1966,November,442.3333333
1966,December,272.6666667
1967,January,201.6666667
1967,February,179.6666667
1967,March,243.3333333
1967,April,408.6666667
1967,May,2005.333333
1967,June,759.3333333
1967,July,1298.333333
1967,August,1384.666667
1967,September,2678.333333
1967,October,1140
1967,November,619
1967,December,346.6666667
1968,January,214.3333333
1968,February,173
1968,March,401.6666667
1968,April,941
1968,May,716.3333333
1968,June,517
1968,July,849.6666667
1968,August,1675
1968,September,2628.666667
1968,October,1073.666667
1968,November,586.6666667
1968,December,327
1969,January,233.6666667
1969,February,200.6666667
1969,March,195.6666667
1969,April,373.6666667
1969,May,418.6666667
1969,June,296
1969,July,734
1969,August,484.3333333
1969,September,483.6666667
1969,October,625
1969,November,270.6666667
1969,December,172.3333333
1970,January,140.6666667
1970,February,132
1970,March,146
1970,April,399.3333333
1970,May,759.6666667
1970,June,515.3333333
1970,July,896.6666667
1970,August,1559.333333
1970,September,1123.333333
1970,October,568
1970,November,284
1970,December,190.6666667
1971,January,154.6666667
