year,month,flow,Ri
1957,1,185.6666667,4.876646401
1957,2,163.3333333,4.290047999
1957,3,197.3333333,5.183078399
1957,4,284,7.4594304
1957,5,1007.666667,26.46696961
1957,6,928,24.3744768
1957,7,1860.333333,48.86277119
1957,8,422.3333333,11.0928384
1957,9,490,12.870144
1957,10,261.6666667,6.872832001
1957,11,211,5.5420416
1957,12,166.6666667,4.377600001
1958,1,140.3333333,3.685939199
1958,2,121.6666667,3.195648001
1958,3,125.3333333,3.291955199
1958,4,216,5.6733696
1958,5,447,11.7407232
1958,6,1090,28.629504
1958,7,1720.666667,45.19434241
1958,8,3602,94.6086912
1958,9,1170,30.730752
1958,10,1157.666667,30.40680961
1958,11,570,14.971392
1958,12,323.3333333,8.492543999
1959,1,216.6666667,5.690880001
1959,2,192.6666667,5.060505601
1959,3,326.6666667,8.580096001
1959,4,352.6666667,9.263001601
1959,5,568.3333333,14.927616
1959,6,429.3333333,11.2766976
1959,7,1446.333333,37.98881279
1959,8,1960,51.480576
1959,9,740.3333333,19.4452992
1959,10,378.6666667,9.945907201
1959,11,279.6666667,7.345612801
1959,12,188.3333333,4.946687999
1960,1,169.6666667,4.456396801
1960,2,153,4.0186368
1960,3,171.3333333,4.500172799
1960,4,227.3333333,5.971046399
1960,5,291.3333333,7.652044799
1960,6,297,7.8008832
1960,7,611.6666667,16.065792
1960,8,2029,53.2929024
1960,9,1168.333333,30.68697599
1960,10,1033.333333,27.14111999
1960,11,452,11.8720512
1960,12,243.3333333,6.391295999
1961,1,176.3333333,4.631500799
1961,2,159,4.1762304
1961,3,202.3333333,5.314406399
1961,4,560.6666667,14.7262464
1961,5,600.3333333,15.7681152
1961,6,2606.333333,68.45690879
1961,7,2923.666667,76.79185921
1961,8,1964.333333,51.59439359
1961,9,996.3333333,26.1692928
1961,10,1812,47.5932672
1961,11,960.3333333,25.2237312
1961,12,416.6666667,10.944
1962,1,258.3333333,6.785279999
1962,2,213.3333333,5.603327999
1962,3,187.3333333,4.920422399
1962,4,205,5.384448
1962,5,270.6666667,7.109222401
1962,6,430,11.294208
1962,7,2376.666667,62.42457601
1962,8,1872.666667,49.18671361
1962,9,1076,28.2617856
1962,10,1222.666667,32.11407361
1962,11,561.6666667,14.752512
1962,12,307,8.0635392
1963,1,204.3333333,5.366937599
1963,2,177,4.6490112
1963,3,183.3333333,4.815359999
1963,4,261,6.8553216
1963,5,1049,27.5526144
1963,6,557,14.6299392
1963,7,1290,33.882624
1963,8,815.3333333,21.4152192
1963,9,2336.333333,61.36519679
1963,10,818.3333333,21.494016
1963,11,579.6666667,15.2252928
1963,12,328.6666667,8.632627201
1964,1,228,5.9885568
1964,2,190.3333333,4.999219199
